"","seas","length","avg_wt",".group"
"1","A",30,201.492146596859,1
"2","A",31,213.733333333333,1
"3","A",32,229.674220963173,1
"4","A",33,253.14906219151,1
"5","A",34,279.219576719577,1
"6","A",35,302.095652173913,1
"7","A",36,326.339360222531,1
"8","A",37,350.085586461778,1
"9","A",38,380.989414877977,1
"10","A",39,410.877325832973,1
"11","A",40,444.493927125506,1
"12","A",41,480.206536705558,1
"13","A",42,518.095035547184,1
"14","A",43,557.874946512623,1
"15","A",44,599.33359032429,1
"16","A",45,643.48488251943,1
"17","A",46,688.559797746069,1
"18","A",47,734.997755230313,1
"19","A",48,783.870690067429,1
"20","A",49,831.455477603886,1
"21","A",50,887.03819858245,1
"22","A",51,942.081510476629,1
"23","A",52,999.824918943955,1
"24","A",53,1060.11958483755,1
"25","A",54,1131.41954022989,1
"26","A",55,1200.16544431179,1
"27","A",56,1265.1878582042,1
"28","A",57,1350.22037853254,1
"29","A",58,1426.37908915972,1
"30","A",59,1501.62434502217,1
"31","A",60,1597.64938271605,1
"32","A",61,1688.82704967086,1
"33","A",62,1757.71706586826,1
"34","A",63,1853.35968379447,1
"35","A",64,1943.72171945701,1
"36","A",65,2040.75036075036,1
"37","B",30,210.25,2
"38","B",31,232.16368286445,2
"39","B",32,253.013528748591,2
"40","B",33,275.107869948344,2
"41","B",34,298.460365853659,2
"42","B",35,324.138423846468,2
"43","B",36,350.523848684211,2
"44","B",37,380.862878319951,2
"45","B",38,412.831005586592,2
"46","B",39,444.751950748085,2
"47","B",40,480.717313888418,2
"48","B",41,515.94745298176,2
"49","B",42,551.641822647582,2
"50","B",43,591.457149621212,2
"51","B",44,632.929400528945,2
"52","B",45,678.343079251513,2
"53","B",46,725.528899686203,2
"54","B",47,772.060037786019,2
"55","B",48,821.642732315174,2
"56","B",49,876.536969848618,2
"57","B",50,935.051659286769,2
"58","B",51,997.919486179608,2
"59","B",52,1059.25689274883,2
"60","B",53,1121.59897392048,2
"61","B",54,1189.57428509998,2
"62","B",55,1256.65819397993,2
"63","B",56,1326.13733905579,2
"64","B",57,1398.92640692641,2
"65","B",58,1474.00159744409,2
"66","B",59,1540.4483560279,2
"67","B",60,1622.44648318043,2
"68","B",61,1701.31808278867,2
"69","B",62,1768.98611111111,2
"70","B",63,1833.97672162949,2
"71","B",64,1900.90800477897,2
"72","B",65,1989.95230524642,2
