"","Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1","1991",389.5739159,113171.2465,44377.11848,88939.2431,151831.8581,181937.238,509695.986,81478.506,292863.183,29464.68515,143946.7158,18242.9412,88287.5668,21837.84126,50005.3498
"2","1992",1963.81709,88216.8784,670812.79,130291.3206,82898.7815,110166.8164,136177.8291,254831.214,102726.4631,152502.263,57876.9732,45353.7152,13708.38882,43213.4815,32332.0707
"3","1993",94.5526649,6917.37372,243618.641,1144408.8,108022.2205,73939.4867,68533.7046,53098.6128,91647.4604,20461.64222,35213.7896,10862.12568,13502.84775,7305.251955,16014.06455
"4","1994",1167.769122,35589.73501,58612.0684,347405.309,1067224.702,180474.844,57739.99933,18728.56551,12367.62112,20247.0338,9182.09009,10150.16764,7576.51281,4058.435736,8040.103576
"5","1995",0,362.2337186,77134.9327,148491.0856,406831.16,767104.998,121936.992,31977.2381,11202.13204,8112.692854,17685.14386,5228.753766,6653.2341,1347.822127,9082.576886
"6","1996",0,16705.889154,51918.12422,82638.4345,161493.758,362775.977,481648.022,186012.142,32583.7363,14098.59255,8438.52433,8658.34456,4502.947824,5928.221236,5026.075381
"7","1997",1642.23371,77851.8475,39246.1437,107649.4091,472667.192,282593.09,252640.554,200068.83,65432.8438,14010.33231,5934.445506,5275.464903,3278.373776,4446.996988,9998.396798
"8","1998",220.085111,42328.6639,85616.4728,70923.7044,154774.056,697028.577,202038.775,130969.6849,107502.4787,29113.5568,6117.246835,6200.070286,2439.1521399,3558.8404411,5611.304951
"9","1999",191.878426,9649.62284,294436.093,224555.033,102324.7198,159704.82,470779.569,130685.8799,56328.5386,34117.6581,3655.914715,2267.1105719,813.7233387,397.37189,1846.686033
"10","2000",0,15332.21414,80266.5714,425831.835,346974.349,105151.5606,170382.752,357627.323,85956.4989,29457.6822,22278.0725,5336.221843,1340.471937,628.3708779,938.372697
"11","2001",0,3084.0818574,46891.6015,154726.845,582562.629,410467.836,135860.797,127004.3253,157299.897,58963.2531,34428.2503,15999.85228,5423.644669,3709.105225,1982.9231331
"12","2002",896.246776,46960.3665,108614.984,213379.414,287356.307,602274.72,270186.356,100646.4037,86265.3251,96759.331,33892.1981,15336.59638,11015.27928,2669.201371,1835.4491359
"13","2003",0,14109.64377,408579.708,323481.978,367205.844,307130.698,331247.145,158767.45,49547.8805,38445.4722,36120.1831,22732.50108,6770.84677,3455.562416,3195.1958531
"14","2004",0,472.7469564,90113.1393,825409.403,483692.605,238969.499,168482.403,155208.607,63231.4327,15501.65921,18560.98151,26774.43792,8939.640757,6410.676932,7628.284379
"15","2005",0,4141.0527595,51083.6752,399372.828,859074.438,483457.921,157561.81,68662.806,68321.4117,30797.6724,9622.54576,8925.61461,3027.052765,2244.073968,2795.475058
"16","2006",0,9976.618319,83181.2806,293286.82,615345.939,592562.509,283626.996,109860.0351,49506.3081,40670.1688,16990.44338,8261.996355,8356.432615,4547.5653464,7080.68152
"17","2007",1628.5752,16913.69275,60498.6102,137515.0123,388609.222,508735.359,300146.882,139480.6855,47584.317,27418.2829,24217.6908,9501.01593,6060.75976,2823.287905,11372.58626
"18","2008",0,25887.4831,57572.9208,79413.8287,148847.773,308393.403,242016.84,149334.438,82517.8605,21781.6357,18399.44181,13973.05623,8882.48948,2825.0659931,12828.15648
"19","2009",0,1314.583344,175885.812,199871.244,82354.6861,112946.0467,123367.324,104017.5758,65932.2264,40456.075,23896.42301,7607.21032,8195.83371,3332.5536383,9010.22025
"20","2010",1038.971721,27151.5792,30847.1456,557916.681,220633.757,55007.1509,42454.5157,56572.3181,52871.3344,31764.1322,15999.8893,8793.90529,6228.49651,4729.51278,5530.03405
"21","2011",439.069909,11410.41346,192811.109,115606.2511,809474.865,284361.954,64084.6428,37701.1335,38348.1069,40244.4834,25274.388,12844.81351,1822.8192957,4088.88152,4234.600806
"22","2012",0,23705.4107,117842.8384,943811.884,173671.162,433067.101,139900.66,36952.2813,17622.73171,14680.59296,16212.08037,13833.84497,7795.157365,5916.005259,3021.4043223
"23","2013",1747.780352,824.4885282,65324.8911,342119.48,955524.16,195194.904,155881.129,69052.3638,20085.8442,13334.20553,12521.41976,11956.74358,7948.40988,4855.108763,5556.129002
"24","2014",0,39591.3688,31441.2997,168628.579,397383.817,752245.708,210304.189,86346.6126,29153.5611,9015.77591,4631.899159,4743.565365,4481.716317,2911.43499,6138.45563
"25","2015",0,15735.78061,633167.118,194789.082,229065.738,385234.109,509395.335,88174.8993,42967.2849,17223.67472,3151.271233,2184.991759,3342.803388,2733.258407,1286.3524136
"26","2016",0,513.810925,91701.0179,1389711.96,159282.682,175325.335,175485.305,223115.724,34719.37,13155.03109,7889.918637,455.540063,1299.914613,757.4208551,1096.17642323
