"","peel","rho"
"1",0,0
"2",1,0.0733357550105027
"3",2,0.0256426664782357
"4",3,0.0973965438799047
"5",4,0.126267761664595
"6",5,0.177684176117686
"7",6,0.218482477841839
"8",7,0.267230881531555
"9",8,0.286838190933327
"10",9,0.313234238677695
"11",10,0.27299128024019
"12",11,0.234869002099877
"13",12,0.214774797384369
"14",13,0.217783369027698
"15",14,0.207315815995411
"16",15,0.209099760323428
"17",16,0.205605071297715
"18",17,0.198611362328906
"19",18,0.203371554086975
"20",19,0.201086264376105
